epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,462.062,0.52658,0.34024,0.89383,0.99643,0.99262,0.99262,0.89345,0.47385,0.24567,0.86582,0.00428311,0.0014277,0.00428311,0.0014277,0.00428311,0.0014277,0.00428311,0.0014277
31,477.366,0.51923,0.34271,0.88459,0.99504,0.99262,0.99476,0.88654,0.47473,0.2549,0.86909,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
32,492.94,0.52425,0.33494,0.88666,0.9856,0.99529,0.99468,0.87775,0.4838,0.24868,0.87418,0.0042336,0.0014112,0.0042336,0.0014112,0.0042336,0.0014112,0.0042336,0.0014112
33,508.607,0.52826,0.3405,0.88743,0.99216,0.98506,0.99473,0.8931,0.4774,0.25916,0.86764,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
34,524.129,0.51375,0.32937,0.88366,0.99175,0.99262,0.99259,0.88823,0.49997,0.25449,0.87058,0.00418409,0.0013947,0.00418409,0.0013947,0.00418409,0.0013947,0.00418409,0.0013947
35,539.301,0.50746,0.33111,0.88149,0.99141,0.98879,0.99443,0.89343,0.47191,0.24651,0.86196,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
36,555.561,0.50798,0.32706,0.88164,0.99432,0.98252,0.99291,0.88879,0.48211,0.24938,0.87508,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819,0.00413458,0.00137819
37,571.849,0.50492,0.31904,0.88542,0.99611,0.98348,0.99471,0.87243,0.51214,0.25026,0.88049,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
38,587.348,0.50336,0.31492,0.88314,0.99102,0.98156,0.99431,0.87757,0.51327,0.26698,0.88047,0.00408507,0.00136169,0.00408507,0.00136169,0.00408507,0.00136169,0.00408507,0.00136169
39,603.441,0.50376,0.31607,0.88418,0.99031,0.99138,0.99468,0.89482,0.47598,0.23965,0.87035,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
40,618.994,0.50199,0.31484,0.8728,0.99078,0.98547,0.99336,0.89412,0.4761,0.24483,0.87279,0.00403556,0.00134519,0.00403556,0.00134519,0.00403556,0.00134519,0.00403556,0.00134519
41,634.461,0.5021,0.3168,0.87847,0.99618,0.98854,0.99481,0.88962,0.49764,0.2398,0.87497,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
